,world_rank,institution,country,long,lat,web_addr,logo_source
69,69,Vanderbilt University,USA,-86.804875,36.14443,www.vanderbilt.edu,news.vanderbilt.edu/files/vu06b.jpg
70,70,University of Utah,USA,-111.846044,40.762484,www.utah.edu,lh4.googleusercontent.com/-ZNARJgYflmM/AAAAAAAAAAI/AAAAAAAABbU/YfkxQz2XmC4/s0-c-k-no-ns/photo.jpg
71,71,Karolinska Institute,Sweden,18.023658,59.348127,ki.se/,ki.se/sites/all/themes/ki/images/open_graph.png
72,72,"University of Maryland, College Park",USA,-76.939704,38.988607,www.umd.edu/,upload.wikimedia.org/wikipedia/zh/thumb/5/51/University_of_Maryland_Seal.svg/200px-University_of_Maryland_Seal.svg.png
73,73,Tohoku University,Japan,140.874053,38.253817,www.tohoku.ac.jp/,www.tohoku.ac.jp/en/common_images/tohokuuniversitylogo.gif
74,74,University of Copenhagen,Denmark,12.57212,55.680176,www.ku.dk/english/,slippedisc.com/wp-content/uploads/2016/02/copenhagen-uni.png
75,75,University of Texas Southwestern Medical Center,USA,-96.842311,32.819539,www.utsouthwestern.edu,lh3.googleusercontent.com/-hm2IFr3Pn9s/AAAAAAAAAAI/AAAAAAAABbQ/xdMpM9Z3CQE/s0-c-k-no-ns/photo.jpg
76,76,Ruprecht Karl University of Heidelberg,Germany,8.670024,49.419098,www.uni-heidelberg.de/index_e.html,upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Logo_University_of_Heidelberg.svg/200px-Logo_University_of_Heidelberg.svg.png
77,77,University of Notre Dame,USA,-86.289848,41.616717,www.nd.edu,upload.wikimedia.org/wikipedia/en/thumb/a/a1/University_of_Notre_Dame_seal.svg/1024px-University_of_Notre_Dame_seal.svg.png
78,78,Tsinghua University,China,116.326433,39.999651,www.nthu.edu.tw/,upload.wikimedia.org/wikipedia/zh/thumb/e/ec/Tsinghua_University_Logo.svg/200px-Tsinghua_University_Logo.svg.png
